Task,Paradigm,FeatureFilter,Model,TimeTaken,Length,ba,recall,auc,best_params,feature_imp
5,1,2,2,25368.75,1145.0,0.712,0.975,"[np.float64(0.726), np.float64(0.55), np.float64(0.891)]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}}","{'HPosY': 0.2124962871903213, 'LRotZ': 0.0747031166642418, 'HRotX': 0.06804789248755777, 'HPosZ': 0.06081629692372102, 'LPosZ': 0.05743415962826236, 'LPosX': 0.05143144657767464}"
5,3,2,1,12958.17,1145.0,0.742,0.733,"[0.619, 0.395, 0.839]","{'best_params': {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}}","{'LRotZ': 0.1382956065426697, 'HPosY': 0.001609296359788459, 'LRotY': 5.6570349443063606e-05, 'HPosX': 0.0, 'HPosZ': 0.0, 'HRotX': 0.0}"
5,3,2,2,12014.97,1145.0,0.675,0.6,"[0.723, 0.542, 0.88]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}}","{'HPosY': 0.1865261880394159, 'HPosZ': 0.11134442656773437, 'LRotZ': 0.09451451223407274, 'RRotX': 0.057456704457019156, 'HRotX': 0.05690925085981603, 'HRotY': 0.054134554248052386}"
5,1,2,4,1642.81,,0.738,0.825,"[0.772, 0.631, 0.905]","{'best_params': {'batch_size': 32, 'conv_channels': [64, 128, 128], 'dropout_fc': 0.2, 'finetune_epochs': 15, 'kernel_sizes': [7, 5, 3], 'learning_rate': 0.001, 'warmup_epochs': 5, 'weight_decay': 0.0005}}","{'LPosY': 0.045853984, 'LPosZ': 0.04567682, 'HPosY': 0.045513656, 'HRotY': 0.045375846, 'HRotX': 0.045352094, 'RPosX': 0.045206238}"
5,1,2,5,18054.68,,0.775,0.95,"[0.79, 0.635, 0.918]","{'best_params': {'batch_size': 32, 'bidirectional': True, 'dropout_fc': 0.3, 'dropout_rnn': 0.2, 'epochs': 30, 'hidden_size': 64, 'lr': 0.001, 'num_layers': 1, 'pooling': 'mean', 'rnn_type': 'lstm'}}","{'RRotY': 0.05959925, 'LRotZ': 0.059030376, 'HPosY': 0.057990044, 'RPosY': 0.057729267, 'RPosZ': 0.05708641, 'HPosZ': 0.05707216}"
5,2,2,4,966.53,,0.835,0.92,"[0.888, 0.779, 0.972]","{'best_params': {'batch_size': 32, 'conv_channels': [64, 128, 128], 'dropout_fc': 0.4, 'finetune_epochs': 15, 'kernel_sizes': [5, 5, 5], 'learning_rate': 0.0002, 'warmup_epochs': 5, 'weight_decay': 0.0005}}","{'HPosY': 0.055824406, 'RPosY': 0.054542918, 'HRotY': 0.05407272, 'LPosY': 0.054019034, 'LRotZ': 0.053373747, 'LPosZ': 0.053151328}"
5,2,2,5,9549.35,,0.78,0.76,"[0.807, 0.648, 0.935]","{'best_params': {'batch_size': 32, 'bidirectional': True, 'dropout_fc': 0.3, 'dropout_rnn': 0.2, 'epochs': 30, 'hidden_size': 64, 'lr': 0.001, 'num_layers': 1, 'pooling': 'mean', 'rnn_type': 'lstm'}}","{'HPosY': 0.05910058, 'LPosZ': 0.05826304, 'LRotZ': 0.057115804, 'RRotZ': 0.056641556, 'LRotX': 0.05639893, 'RPosY': 0.056289785}"
5,3,2,4,588.02,,0.633,0.667,"[0.615, 0.424, 0.799]","{'best_params': {'batch_size': 32, 'conv_channels': [64, 128, 128], 'dropout_fc': 0.4, 'finetune_epochs': 15, 'kernel_sizes': [5, 5, 5], 'learning_rate': 0.0002, 'warmup_epochs': 5, 'weight_decay': 0.0005}}","{'RPosY': 0.055870306, 'LRotY': 0.05453698, 'HPosX': 0.054469008, 'RRotY': 0.053475868, 'LRotX': 0.053405862, 'LRotZ': 0.0533684}"
5,3,2,5,6072.34,,0.617,0.533,"[0.556, 0.375, 0.748]","{'best_params': {'batch_size': 32, 'bidirectional': True, 'dropout_fc': 0.3, 'dropout_rnn': 0.2, 'epochs': 30, 'hidden_size': 64, 'lr': 0.001, 'num_layers': 1, 'pooling': 'max', 'rnn_type': 'lstm'}}","{'HPosY': 0.058055032, 'RPosX': 0.05799594, 'HRotX': 0.057630662, 'LRotZ': 0.05720812, 'HPosX': 0.056324303, 'HRotZ': 0.056230485}"
5,4,2,4,835.38,,0.627,0.72,"[0.601, 0.397, 0.811]","{'best_params': {'batch_size': 32, 'conv_channels': [64, 128, 256], 'dropout_fc': 0.2, 'finetune_epochs': 15, 'kernel_sizes': [7, 5, 3], 'learning_rate': 0.001, 'warmup_epochs': 5, 'weight_decay': 0.0005}}","{'LPosX': 0.047145702, 'HRotX': 0.046967827, 'RPosX': 0.04600373, 'HRotZ': 0.04564369, 'RPosY': 0.045415867, 'LRotY': 0.045384366}"
