Task,Paradigm,FeatureFilter,Model,TimeTaken,Length,ba,recall,auc,best_params,feature_imp
1,3,2,3,9774.09,,0.833,0.667,"[np.float64(0.848), np.float64(0.713), np.float64(0.961)]","{'best_params': {'covariance_type': 'diag', 'n_components': 4, 'n_iter': 50}}","{'HPosY': np.float64(0.21666666666666656), 'HRotX': np.float64(0.16666666666666652), 'RPosY': np.float64(0.15833333333333321), 'HPosX': np.float64(0.15833333333333321), 'LRotX': np.float64(0.1499999999999999), 'LPosX': np.float64(0.1333333333333333)}"
1,4,2,1,21412.92,1839.0,0.66,0.72,"[np.float64(0.677), np.float64(0.479), np.float64(0.861)]","{'best_params': {'C': 0.1, 'class_weight': 'balanced', 'l1_ratio': 0.75, 'max_iter': 500, 'penalty': 'elasticnet', 'solver': 'saga'}}","{'LRotX': 0.2834691024181666, 'HPosY': 0.21534046206534185, 'RRotX': 0.052168953538057394, 'HRotX': 0.028735047057580232, 'RRotY': 0.01044159430603031, 'RPosX': 0.0020236815422549626}"
1,1,2,3,28745.1,,0.775,0.85,"[np.float64(0.799), np.float64(0.684), np.float64(0.911)]","{'best_params': {'covariance_type': 'diag', 'n_components': 5, 'n_iter': 50}}","{'LPosY': np.float64(0.17499999999999993), 'HPosZ': np.float64(0.16249999999999987), 'HPosY': np.float64(0.16249999999999987), 'RPosY': np.float64(0.12499999999999989), 'LPosX': np.float64(0.09999999999999987), 'RRotZ': np.float64(0.09999999999999987)}"
1,2,2,1,19279.18,1473.0,0.655,0.56,"[np.float64(0.769), np.float64(0.609), np.float64(0.903)]","{'best_params': {'C': 10, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l1', 'solver': 'saga'}}","{'HPosY': 1.7693578865326955, 'HPosX': 1.560537911467776, 'RRotY': 1.3656739824043882, 'HRotZ': 1.2650743217293439, 'LRotZ': 1.2105228114805975, 'LPosZ': 1.202057660971846}"
1,1,2,1,4375.89,1473.0,0.738,0.825,"[np.float64(0.761), np.float64(0.615), np.float64(0.889)]","{'best_params': {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}}","{'HPosY': 0.44836835430174915, 'LRotZ': 0.27539182601060475, 'RRotZ': 0.03587584267370403, 'HRotZ': 0.010238571863737889, 'LPosZ': 0.008471556560976978, 'RRotY': 0.00587768349214457}"
1,1,2,2,10344.49,1473.0,0.762,0.975,"[np.float64(0.797), np.float64(0.653), np.float64(0.915)]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}}","{'HPosY': 0.20207760976185032, 'LPosY': 0.07960509638658786, 'LPosX': 0.07155080338103507, 'LRotZ': 0.06968080444730643, 'RPosY': 0.06759398187468767, 'HRotZ': 0.05728083500585201}"
1,2,2,2,5268.23,1473.0,0.69,0.88,"[np.float64(0.78), np.float64(0.625), np.float64(0.91)]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}}","{'HPosY': 0.12393971112890938, 'LPosY': 0.11759138916171057, 'LPosX': 0.08052159942836687, 'RPosY': 0.06923508042759925, 'LRotZ': 0.06514713217779938, 'LRotX': 0.06457824172680007}"
1,2,2,3,5175.45,,0.79,0.88,"[np.float64(0.788), np.float64(0.649), np.float64(0.905)]","{'best_params': {'covariance_type': 'diag', 'n_components': 4, 'n_iter': 50}}","{'LPosY': np.float64(0.21999999999999997), 'LPosX': np.float64(0.14500000000000002), 'RRotY': np.float64(0.14), 'HRotX': np.float64(0.135), 'LRotZ': np.float64(0.125), 'LRotY': np.float64(0.09499999999999997)}"
1,4,2,2,6999.7,1839.0,0.553,0.84,"[np.float64(0.568), np.float64(0.378), np.float64(0.75)]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}}","{'HPosY': 0.17818591355936964, 'LRotZ': 0.15502945841344487, 'RRotX': 0.10969657999591118, 'RRotY': 0.07877452791110183, 'RPosX': 0.07394341489160973, 'LRotX': 0.06254060666404135}"
1,4,2,3,4315.11,,0.567,0.8,"[np.float64(0.561), np.float64(0.419), np.float64(0.713)]","{'best_params': {'covariance_type': 'diag', 'n_components': 4, 'n_iter': 50}}","{'RPosX': np.float64(0.16666666666666663), 'RPosY': np.float64(0.16000000000000003), 'RRotZ': np.float64(0.1466666666666666), 'HPosX': np.float64(0.1266666666666666), 'HPosY': np.float64(0.1266666666666666), 'LPosZ': np.float64(0.08666666666666667)}"
2,3,2,3,849.37,,0.7,0.8,"[np.float64(0.68), np.float64(0.503), np.float64(0.825)]","{'best_params': {'covariance_type': 'diag', 'n_components': 2, 'n_iter': 100}}","{'HPosY': np.float64(0.19166666666666665), 'RPosX': np.float64(0.125), 'HPosZ': np.float64(0.1166666666666667), 'RPosY': np.float64(0.1166666666666667), 'LPosZ': np.float64(0.10833333333333328), 'RRotX': np.float64(0.09166666666666656)}"
2,4,2,3,1230.19,,0.48,0.56,"[np.float64(0.461), np.float64(0.299), np.float64(0.621)]","{'best_params': {'covariance_type': 'diag', 'n_components': 3, 'n_iter': 50}}","{'RPosX': np.float64(0.14000000000000007), 'LPosX': np.float64(0.13333333333333336), 'LPosZ': np.float64(0.10000000000000003), 'LRotY': np.float64(0.08000000000000002), 'LRotX': np.float64(0.08000000000000002), 'RRotZ': np.float64(0.06666666666666671)}"
2,1,2,3,3813.99,,0.712,0.875,"[np.float64(0.711), np.float64(0.595), np.float64(0.833)]","{'best_params': {'covariance_type': 'diag', 'n_components': 3, 'n_iter': 50}}","{'HPosX': np.float64(0.13750000000000007), 'RPosY': np.float64(0.125), 'LPosZ': np.float64(0.09999999999999998), 'RRotZ': np.float64(0.09999999999999998), 'HPosZ': np.float64(0.07500000000000007), 'LRotZ': np.float64(0.07500000000000007)}"
2,2,2,3,2177.2,,0.635,0.72,"[np.float64(0.633), np.float64(0.495), np.float64(0.776)]","{'best_params': {'covariance_type': 'diag', 'n_components': 5, 'n_iter': 50}}","{'LPosX': np.float64(0.08000000000000007), 'HPosY': np.float64(0.07499999999999996), 'RPosY': np.float64(0.050000000000000044), 'LPosY': np.float64(0.04499999999999993), 'LRotZ': np.float64(0.020000000000000018), 'HRotX': np.float64(0.015000000000000013)}"
2,1,2,4,1923.07,,0.812,0.925,"[0.875, 0.764, 0.956]","{'best_params': {'batch_size': 32, 'conv_channels': [64, 128, 128], 'dropout_fc': 0.2, 'finetune_epochs': 15, 'kernel_sizes': [5, 5, 5], 'learning_rate': 0.001, 'warmup_epochs': 5, 'weight_decay': 0.0005}}","{'HRotY': 0.055268556, 'LRotX': 0.054135628, 'LPosY': 0.054089975, 'HRotZ': 0.053568847, 'RRotZ': 0.05346054, 'RPosZ': 0.05307173}"
2,1,2,5,20180.75,,0.762,0.925,"[0.803, 0.673, 0.922]","{'best_params': {'batch_size': 32, 'bidirectional': True, 'dropout_fc': 0.3, 'dropout_rnn': 0.2, 'epochs': 30, 'hidden_size': 64, 'lr': 0.001, 'num_layers': 1, 'pooling': 'max', 'rnn_type': 'gru'}}","{'RPosX': 0.056999538, 'LPosY': 0.056940213, 'HPosY': 0.056799095, 'LPosZ': 0.056756698, 'LRotZ': 0.056442957, 'HPosZ': 0.056288168}"
2,2,2,4,1108.17,,0.79,0.88,"[0.834, 0.702, 0.939]","{'best_params': {'batch_size': 32, 'conv_channels': [64, 128, 256], 'dropout_fc': 0.2, 'finetune_epochs': 15, 'kernel_sizes': [7, 5, 3], 'learning_rate': 0.001, 'warmup_epochs': 5, 'weight_decay': 0.0005}}","{'RPosZ': 0.04707918, 'RRotY': 0.046400614, 'HRotY': 0.04586064, 'LPosZ': 0.044943962, 'RPosY': 0.04490417, 'RRotZ': 0.04486726}"
2,2,2,5,11761.47,,0.77,0.84,"[0.833, 0.708, 0.936]","{'best_params': {'batch_size': 32, 'bidirectional': True, 'dropout_fc': 0.3, 'dropout_rnn': 0.2, 'epochs': 30, 'hidden_size': 64, 'lr': 0.001, 'num_layers': 2, 'pooling': 'max', 'rnn_type': 'lstm'}}","{'RPosY': 0.05850077, 'LPosY': 0.05786994, 'HRotY': 0.056960173, 'LRotX': 0.056818906, 'HPosY': 0.056416553, 'LRotY': 0.056379054}"
2,3,2,4,673.6,,0.75,0.8,"[0.766, 0.579, 0.923]","{'best_params': {'batch_size': 32, 'conv_channels': [64, 128, 256], 'dropout_fc': 0.2, 'finetune_epochs': 15, 'kernel_sizes': [7, 5, 3], 'learning_rate': 0.001, 'warmup_epochs': 5, 'weight_decay': 0.0005}}","{'LPosX': 0.048297524, 'HPosX': 0.04685869, 'LRotZ': 0.046812266, 'HRotZ': 0.046622194, 'HRotX': 0.045858834, 'RRotY': 0.045808107}"
2,3,2,5,7491.02,,0.717,0.733,"[0.783, 0.592, 0.93]","{'best_params': {'batch_size': 32, 'bidirectional': True, 'dropout_fc': 0.3, 'dropout_rnn': 0.2, 'epochs': 30, 'hidden_size': 64, 'lr': 0.001, 'num_layers': 2, 'pooling': 'max', 'rnn_type': 'lstm'}}","{'LPosX': 0.05789675, 'HRotZ': 0.05788579, 'RPosZ': 0.05752669, 'LRotZ': 0.05745053, 'HRotX': 0.05710156, 'RPosY': 0.05696808}"
2,4,2,4,871.54,,0.38,0.56,"[0.323, 0.171, 0.505]","{'best_params': {'batch_size': 32, 'conv_channels': [64, 128, 128], 'dropout_fc': 0.4, 'finetune_epochs': 15, 'kernel_sizes': [7, 5, 3], 'learning_rate': 0.0002, 'warmup_epochs': 5, 'weight_decay': 0.0005}}","{'HRotX': 0.0461212, 'LPosZ': 0.046007294, 'HRotZ': 0.04593528, 'HPosY': 0.045472372, 'RRotY': 0.045443587, 'RPosZ': 0.045096237}"
2,4,2,5,9306.94,,0.453,0.64,"[0.352, 0.181, 0.538]","{'best_params': {'batch_size': 32, 'bidirectional': True, 'dropout_fc': 0.3, 'dropout_rnn': 0.2, 'epochs': 30, 'hidden_size': 128, 'lr': 0.001, 'num_layers': 1, 'pooling': 'max', 'rnn_type': 'lstm'}}","{'RPosY': 0.058897182, 'LPosY': 0.058339704, 'HPosX': 0.056924563, 'HRotZ': 0.05685344, 'RRotZ': 0.05637541, 'LRotZ': 0.056170624}"
2,1,2,1,3066.15,1301.0,0.788,0.875,"[np.float64(0.755), np.float64(0.599), np.float64(0.899)]","{'best_params': {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}}","{'HPosY': 3.128972364101962, 'HRotX': 3.0181802281694328, 'HRotY': 2.948364089802266, 'HRotZ': 2.5142563534552247, 'LRotZ': 2.499996299306629, 'RRotZ': 2.3309961435761517}"
2,1,2,2,9621.7,1301.0,0.762,0.975,"[np.float64(0.816), np.float64(0.677), np.float64(0.932)]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}}","{'LPosX': 0.18790505275846492, 'HPosY': 0.17617111076935857, 'HRotX': 0.1169838421872839, 'LPosZ': 0.06377613682565943, 'HRotZ': 0.05436361233392053, 'LRotZ': 0.05315710472908984}"
2,2,2,1,2383.5,1333.0,0.74,0.88,"[np.float64(0.738), np.float64(0.582), np.float64(0.892)]","{'best_params': {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l1', 'solver': 'saga'}}","{'HPosY': 0.24268929521736027, 'HRotZ': 0.009314382448792458, 'RRotY': 0.002218240159436391, 'HPosX': 0.0, 'HPosZ': 0.0, 'HRotX': 0.0}"
2,2,2,2,6496.44,1333.0,0.77,0.84,"[np.float64(0.789), np.float64(0.633), np.float64(0.926)]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}}","{'HRotX': 0.39751906746278437, 'HPosY': 0.1051457631306677, 'HRotZ': 0.1002010774261569, 'RRotY': 0.08333707966762327, 'LPosZ': 0.06482364612385307, 'RRotZ': 0.041198394435032426}"
2,3,2,1,1309.33,1301.0,0.725,0.8,"[np.float64(0.775), np.float64(0.601), np.float64(0.928)]","{'best_params': {'C': 0.1, 'class_weight': 'balanced', 'l1_ratio': 0.5, 'max_iter': 500, 'penalty': 'elasticnet', 'solver': 'saga'}}","{'HPosY': 0.5458782241291829, 'LRotZ': 0.3781596577173332, 'LPosY': 0.14343906825888553, 'HRotX': 0.11098783102352172, 'RPosX': 0.04752678734774918, 'HRotY': 0.011329654305882286}"
2,3,2,2,2438.77,1301.0,0.817,0.733,"[np.float64(0.809), np.float64(0.637), np.float64(0.942)]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}}","{'HPosY': 0.31766320621695326, 'HRotX': 0.17680886198736653, 'LPosX': 0.1369016810653649, 'LRotZ': 0.055190884255134735, 'RPosX': 0.053643137163786055, 'LPosY': 0.03979052472320139}"
2,4,2,1,1145.24,1301.0,0.62,0.64,"[np.float64(0.555), np.float64(0.346), np.float64(0.765)]","{'best_params': {'C': 0.01, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}}","{'HPosX': 0.0, 'HPosY': 0.0, 'HPosZ': 0.0, 'HRotX': 0.0, 'HRotY': 0.0, 'HRotZ': 0.0}"
2,4,2,2,3622.11,1301.0,0.453,0.84,"[np.float64(0.288), np.float64(0.124), np.float64(0.472)]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}}","{'RPosY': 0.0789991473924417, 'HRotY': 0.07714113498175859, 'RRotY': 0.07659671398686749, 'HPosY': 0.07423735805930229, 'LPosY': 0.07289986098134538, 'RPosX': 0.06530280805204097}"
3,3,2,1,15001.57,1576.0,0.708,0.667,"[0.702, 0.5, 0.868]","{'best_params': {'C': 0.01, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}}","{'HPosY': 1.5683116807106923, 'RRotY': 1.4429769953228357, 'HRotY': 1.3341705446941556, 'LRotZ': 1.288506912831436, 'LPosZ': 1.2785484113156187, 'HPosZ': 1.2539076132877982}"
3,3,2,2,16632.96,1576.0,0.608,0.467,"[0.647, 0.451, 0.824]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}}","{'HPosY': 0.31383214903016954, 'LPosZ': 0.13089262385217015, 'HRotX': 0.0689276165459633, 'HRotY': 0.05037113737938163, 'RRotY': 0.046006262180652784, 'LRotY': 0.04395930253764316}"
3,3,2,3,12150.25,,0.725,0.8,"[0.755, 0.61, 0.886]","{'best_params': {'covariance_type': 'diag', 'n_components': 2, 'n_iter': 50}}","{'RPosZ': 0.10000000000000009, 'HPosY': 0.10000000000000009, 'HPosX': 0.07500000000000018, 'RRotX': 0.07500000000000018, 'RPosX': 0.07500000000000018, 'HPosZ': 0.05833333333333346}"
3,4,2,1,19696.35,2292.0,0.687,0.84,"[0.52, 0.285, 0.759]","{'best_params': {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}}","{'RRotY': 0.0951999296885333, 'LPosX': 0.02800311662349486, 'LPosZ': 0.0010136616456293268, 'HPosX': 0.0, 'HPosY': 0.0, 'HPosZ': 0.0}"
3,1,2,3,22018.34,,0.762,0.875,"[0.789, 0.661, 0.905]","{'best_params': {'covariance_type': 'diag', 'n_components': 2, 'n_iter': 50}}","{'HPosX': 0.1875, 'HPosY': 0.16249999999999998, 'LPosZ': 0.16249999999999998, 'RRotX': 0.16249999999999998, 'RPosZ': 0.1499999999999999, 'RPosY': 0.1499999999999999}"
3,2,2,1,16130.25,1576.0,0.725,0.8,"[0.769, 0.63, 0.897]","{'best_params': {'C': 0.01, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}}","{'HPosY': 1.9117419415701142, 'HRotZ': 1.7734481402887734, 'RRotY': 1.3370711843308796, 'LPosY': 1.2869804295060483, 'LRotY': 1.277921214596984, 'LPosX': 1.2769739590629754}"
3,2,2,2,35714.61,1576.0,0.745,0.84,"[0.76, 0.599, 0.909]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}}","{'HPosY': 0.2872472584155585, 'HRotX': 0.08250567913512749, 'LPosZ': 0.07357349753927879, 'RRotX': 0.06007030805663801, 'LPosY': 0.05350841835396661, 'LRotZ': 0.04857905962746984}"
3,2,2,3,5714.05,,0.73,0.96,"[0.738, 0.622, 0.858]","{'best_params': {'covariance_type': 'diag', 'n_components': 2, 'n_iter': 50}}","{'LPosZ': 0.12, 'HPosX': 0.12, 'RPosY': 0.11499999999999999, 'RPosX': 0.10999999999999999, 'RRotX': 0.09499999999999997, 'HPosY': 0.08499999999999996}"
3,4,2,2,38467.68,2292.0,0.553,0.84,"[0.42, 0.229, 0.624]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}}","{'LPosX': 0.25312326857455913, 'RRotY': 0.22682272075360124, 'RRotZ': 0.09894787748756899, 'RRotX': 0.07018180542909587, 'HRotY': 0.04318113539031678, 'HRotZ': 0.03979119877499028}"
3,4,2,3,9498.7,,0.64,0.88,"[0.634, 0.5, 0.785]","{'best_params': {'covariance_type': 'diag', 'n_components': 4, 'n_iter': 50}}","{'HRotX': 0.22666666666666668, 'LRotZ': 0.19333333333333336, 'RRotZ': 0.15333333333333332, 'RRotY': 0.1333333333333333, 'LPosX': 0.1266666666666667, 'HRotZ': 0.12}"
3,1,2,1,34950.65,1576.0,0.762,0.825,"[0.728, 0.548, 0.888]","{'best_params': {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l1', 'solver': 'saga'}}","{'HPosY': 0.4272243710681778, 'LRotZ': 0.15345812238990675, 'LRotX': 0.08304681682784576, 'LRotY': 0.0559722129983129, 'HRotZ': 0.04219069331884384, 'LPosZ': 0.004417392033701617}"
3,1,2,2,54476.32,1576.0,0.738,0.975,"[0.764, 0.61, 0.896]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}}","{'HPosY': 0.33187676928687143, 'LPosZ': 0.08155696161518906, 'LRotZ': 0.06509014876413817, 'HRotX': 0.06422236807651986, 'HRotZ': 0.06225464029391025, 'RRotZ': 0.041188557754429034}"
3,1,2,4,2390.72,,0.738,0.875,"[0.743, 0.583, 0.884]","{'best_params': {'batch_size': 32, 'conv_channels': [64, 128, 128], 'dropout_fc': 0.2, 'finetune_epochs': 15, 'kernel_sizes': [5, 5, 5], 'learning_rate': 0.0002, 'warmup_epochs': 5, 'weight_decay': 0.0005}}","{'RPosY': 0.057236057, 'HRotZ': 0.0559152, 'LPosX': 0.05554598, 'LRotY': 0.05504454, 'RRotX': 0.05432124, 'RPosZ': 0.053955823}"
3,1,2,5,32794.6,,0.788,0.925,"[0.721, 0.546, 0.888]","{'best_params': {'batch_size': 32, 'bidirectional': True, 'dropout_fc': 0.3, 'dropout_rnn': 0.2, 'epochs': 30, 'hidden_size': 64, 'lr': 0.001, 'num_layers': 1, 'pooling': 'mean', 'rnn_type': 'lstm'}}","{'HPosZ': 0.0592169, 'LRotZ': 0.058837734, 'LPosZ': 0.056756616, 'HRotX': 0.05669758, 'HRotZ': 0.056310575, 'LRotX': 0.055735625}"
3,2,2,4,1422.71,,0.765,0.88,"[0.739, 0.563, 0.895]","{'best_params': {'batch_size': 32, 'conv_channels': [64, 128, 256], 'dropout_fc': 0.2, 'finetune_epochs': 15, 'kernel_sizes': [7, 5, 3], 'learning_rate': 0.001, 'warmup_epochs': 5, 'weight_decay': 0.0005}}","{'HPosY': 0.049185086, 'RRotX': 0.0463515, 'RPosY': 0.04632273, 'LPosZ': 0.045401018, 'HPosX': 0.045153897, 'LPosY': 0.045080066}"
3,2,2,5,15723.61,,0.71,0.72,"[0.785, 0.64, 0.913]","{'best_params': {'batch_size': 32, 'bidirectional': True, 'dropout_fc': 0.3, 'dropout_rnn': 0.2, 'epochs': 30, 'hidden_size': 64, 'lr': 0.001, 'num_layers': 2, 'pooling': 'max', 'rnn_type': 'gru'}}","{'HPosZ': 0.06010275, 'RRotZ': 0.057023484, 'LPosZ': 0.056948785, 'HRotY': 0.056878895, 'HPosY': 0.056437965, 'LPosY': 0.056377452}"
3,3,2,4,805.46,,0.633,0.667,"[0.622, 0.413, 0.8]","{'best_params': {'batch_size': 32, 'conv_channels': [64, 128, 128], 'dropout_fc': 0.4, 'finetune_epochs': 15, 'kernel_sizes': [7, 5, 3], 'learning_rate': 0.0002, 'warmup_epochs': 5, 'weight_decay': 0.0005}}","{'HRotX': 0.046795998, 'HPosX': 0.046512134, 'RPosZ': 0.04561601, 'LPosZ': 0.04548297, 'RRotY': 0.04546806, 'HRotY': 0.045214627}"
3,3,2,5,10894.39,,0.65,0.6,"[0.615, 0.417, 0.804]","{'best_params': {'batch_size': 32, 'bidirectional': True, 'dropout_fc': 0.3, 'dropout_rnn': 0.2, 'epochs': 30, 'hidden_size': 128, 'lr': 0.001, 'num_layers': 2, 'pooling': 'max', 'rnn_type': 'lstm'}}","{'HPosY': 0.05884791, 'LRotZ': 0.057419434, 'RRotZ': 0.056816306, 'LPosZ': 0.0567968, 'HPosX': 0.05644717, 'LPosY': 0.056176893}"
3,4,2,4,1532.31,,0.58,0.76,"[0.453, 0.261, 0.653]","{'best_params': {'batch_size': 32, 'conv_channels': [64, 128, 256], 'dropout_fc': 0.2, 'finetune_epochs': 15, 'kernel_sizes': [7, 5, 3], 'learning_rate': 0.0002, 'warmup_epochs': 5, 'weight_decay': 0.0005}}","{'HRotX': 0.046551738, 'HRotZ': 0.04597056, 'RPosZ': 0.045613397, 'RPosY': 0.045518965, 'LRotZ': 0.045301694, 'RRotX': 0.04507529}"
3,4,2,5,25622.37,,0.56,0.72,"[0.468, 0.253, 0.678]","{'best_params': {'batch_size': 32, 'bidirectional': True, 'dropout_fc': 0.3, 'dropout_rnn': 0.2, 'epochs': 30, 'hidden_size': 64, 'lr': 0.001, 'num_layers': 2, 'pooling': 'mean', 'rnn_type': 'lstm'}}","{'HPosZ': 0.05855195, 'LPosX': 0.057955336, 'RRotY': 0.05780171, 'RPosZ': 0.057079528, 'LPosY': 0.05678386, 'LRotX': 0.056612138}"
4,3,2,3,9566.39,,0.7,0.6,"[0.717, 0.559, 0.871]","{'best_params': {'covariance_type': 'diag', 'n_components': 2, 'n_iter': 50}}","{'HPosY': 0.1499999999999999, 'LPosZ': 0.1333333333333333, 'RPosY': 0.05833333333333335, 'HRotY': 0.050000000000000044, 'RRotZ': 0.04166666666666663, 'RPosZ': 0.04166666666666663}"
4,4,2,1,12528.68,1157.0,0.767,0.6,"[0.799, 0.633, 0.935]","{'best_params': {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l1', 'solver': 'saga'}}","{'LRotY': 0.3445433863216749, 'HPosX': 0.0, 'HPosY': 0.0, 'HPosZ': 0.0, 'HRotX': 0.0, 'HRotY': 0.0}"
4,4,2,2,20561.3,1157.0,0.767,0.8,"[0.789, 0.632, 0.927]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}}","{'LRotY': 0.608174284598896, 'HRotX': 0.06964571547022719, 'RRotZ': 0.055315289971842985, 'RRotY': 0.04252362354104276, 'HRotY': 0.04063764819959475, 'HRotZ': 0.039171845243213134}"
4,4,2,3,3220.65,,0.673,0.68,"[0.654, 0.48, 0.818]","{'best_params': {'covariance_type': 'diag', 'n_components': 2, 'n_iter': 50}}","{'LPosZ': 0.22000000000000003, 'RPosX': 0.1266666666666667, 'RPosZ': 0.11333333333333329, 'LPosX': 0.09333333333333327, 'RRotY': 0.09333333333333327, 'LRotX': 0.06000000000000005}"
4,3,2,1,13625.05,1157.0,0.7,0.6,"[0.744, 0.56, 0.901]","{'best_params': {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}}","{'HRotZ': 2.4160092495610566, 'HPosY': 2.0395722438801878, 'HRotY': 1.9622068468830378, 'RRotY': 1.6863354731126672, 'HRotX': 1.6148647272043424, 'LRotY': 1.6003249039793686}"
4,3,2,2,11763.51,1157.0,0.633,0.467,"[0.666, 0.486, 0.842]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}}","{'HPosY': 0.16679076449881086, 'LPosZ': 0.1319958089807848, 'HRotZ': 0.10212200494912699, 'LRotY': 0.08971542252514228, 'RRotX': 0.08049669391833522, 'HPosZ': 0.06395968350909857}"
4,2,2,2,29622.82,1336.0,0.79,0.88,"[0.811, 0.659, 0.938]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}}","{'HPosY': 0.23198269695118878, 'LRotY': 0.11932315858329533, 'LPosZ': 0.09518803473587686, 'LRotZ': 0.08983593192851232, 'RRotX': 0.06967361013253068, 'HRotY': 0.06832059797093432}"
4,2,2,3,9011.99,,0.76,0.72,"[0.763, 0.63, 0.884]","{'best_params': {'covariance_type': 'diag', 'n_components': 5, 'n_iter': 50}}","{'HPosY': 0.16500000000000004, 'RPosZ': 0.11499999999999999, 'HRotZ': 0.10000000000000009, 'RPosX': 0.09000000000000008, 'RRotZ': 0.07000000000000006, 'LPosZ': 0.05499999999999994}"
4,1,2,3,27168.42,,0.738,0.575,"[0.75, 0.621, 0.857]","{'best_params': {'covariance_type': 'diag', 'n_components': 4, 'n_iter': 50}}","{'HPosY': 0.1625000000000001, 'HRotZ': 0.125, 'HRotY': 0.10000000000000009, 'LPosZ': 0.07500000000000007, 'HRotX': 0.0625, 'RPosX': 0.0625}"
4,2,2,1,13477.79,1336.0,0.765,0.68,"[0.77, 0.615, 0.907]","{'best_params': {'C': 10, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}}","{'HPosY': 6.199627850954342, 'LPosZ': 3.488316367899231, 'LPosY': 3.2336636127936407, 'HRotY': 3.1646484826558137, 'LRotZ': 3.10323036130395, 'RRotY': 3.088045868345594}"
4,1,2,1,27634.84,1157.0,0.738,0.825,"[0.771, 0.623, 0.898]","{'best_params': {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}}","{'HPosY': 3.7301076982312207, 'HRotZ': 2.5165309956562876, 'RRotY': 2.211558509962133, 'LRotZ': 2.1954550924439653, 'HRotY': 2.11643101914639, 'RPosY': 1.9996696392338986}"
4,1,2,2,41546.82,1157.0,0.675,0.95,"[0.804, 0.655, 0.923]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}}","{'HPosY': 0.16817864911930186, 'LPosZ': 0.11262043523167545, 'RRotX': 0.08252091103817207, 'LRotZ': 0.06580218009275825, 'LPosY': 0.05507782444042199, 'LPosX': 0.04915103219475109}"
